ip;hostname
64.15.112.17;cache.google.com
64.15.112.18;cache.google.com
109.105.109.205;ggc-host5-nordunet-arn104.nordu.net
109.105.109.206;ggc-host6-nordunet-arn104.nordu.net
64.15.116.49;cache.google.com
64.15.116.50;cache.google.com
83.255.235.81;cache.google.com
82.94.228.145;cache.googlevideo.com
82.76.231.18;cache.google.com
80.239.229.209;80-239-229-209.customer.teliacarrier.com
80.239.229.210;80-239-229-210.customer.teliacarrier.com
213.155.151.146;213-155-151-146.customer.teliacarrier.com
207.34.103.17;cache.google.com
2001:56a:2:8::11;cache.google.com
2001:56a:2:8::12;cache.google.com
207.34.103.18;cache.google.com
90.201.127.76;host11-rangeC-google-ggc.cdn.bllon.isp.sky.com
90.201.127.77;host12-rangeC-google-ggc.cdn.bllon.isp.sky.com
90.201.127.79;host14-rangeC-google-ggc.cdn.bllon.isp.sky.com
206.248.169.76;206-248-169-76.dsl.teksavvy.com
2607:f2c0:1:52::c;node-5h3xzw8elyw6bqbw.ipv6.teksavvy.com
206.248.169.77;206-248-169-77.dsl.teksavvy.com
2607:f2c0:1:52::d;node-5h3xzw8elyw6bqbx.ipv6.teksavvy.com
84.208.42.81;cm-84.208.42.81.getinternet.no
84.208.42.76;cm-84.208.42.76.getinternet.no
84.208.42.78;cm-84.208.42.78.getinternet.no
167.142.232.18;cache.google.com
167.142.232.17;cache.google.com
84.208.42.77;cm-84.208.42.77.getinternet.no
193.212.4.12;cache.google.com
193.212.4.13;cache.google.com
212.56.71.17;plusnet-lcy3.plus.net
212.56.71.77;plusnet-lcy4.plus.net
212.56.71.78;plusnet-lcy4.plus.net
64.15.114.35;cache.google.com
194.78.0.209;209.0-78-194.cache.googlevideo.com
194.78.99.204;204.99-78-194.cache.googlevideo.com
194.78.99.205;205.99-78-194.cache.googlevideo.com
64.15.112.82;cache.google.com
82.94.234.16;cache.google.com
62.231.75.210;cache.google.com
86.127.118.146;cache.google.com
80.239.229.242;80-239-229-242.customer.teliacarrier.com
90.201.127.16;host15-rangeB-google-ggc.cdn.bllon.isp.sky.com
206.248.169.109;206-248-169-109.dsl.teksavvy.com
2607:f2c0:1:53::d;node-5h41w1mfn12b474d.ipv6.teksavvy.com
84.208.42.80;cm-84.208.42.80.getinternet.no
212.56.71.18;plusnet-lcy3.plus.net
103.1.139.144;144.139.1.103.unknown.m1.com.sg
194.78.0.80;80.0-78-194.cache.googlevideo.com
82.94.234.12;cache.google.com
208.117.234.78;cache.google.com
206.111.13.18;206.111.13.18.ptr.us.xo.net
84.208.42.12;cm-84.208.42.12.getinternet.no
194.78.0.12;12.0-78-194.cache.googlevideo.com
64.15.112.12;cache.google.com
83.255.235.76;cache.google.com
82.76.231.12;cache.google.com
193.212.4.50;cache.google.com
194.78.0.144;144.0-78-194.cache.googlevideo.com
64.15.112.19;cache.google.com
109.105.109.207;ggc-host7-nordunet-arn104.nordu.net
62.231.75.211;cache.google.com
206.111.13.50;206.111.13.50.ptr.us.xo.net
206.111.13.51;206.111.13.51.ptr.us.xo.net
84.208.42.15;cm-84.208.42.15.getinternet.no
193.212.4.44;cache.google.com
194.78.0.143;143.0-78-194.cache.googlevideo.com
196.23.168.140;za196-23-168-140.cache.googlevideo.com
208.117.234.41;cache.google.com
64.15.112.80;cache.google.com
109.105.109.204;ggc-host4-nordunet-arn104.nordu.net
83.255.235.80;cache.google.com
90.201.127.18;host17-rangeB-google-ggc.cdn.bllon.isp.sky.com
208.117.234.86;cache.google.com
82.76.231.16;cache.google.com
82.76.79.83;cache.google.com
82.94.234.13;cache.google.com
84.208.42.13;cm-84.208.42.13.getinternet.no
193.212.4.47;cache.google.com
208.117.234.47;cache.google.com
167.142.232.19;cache.google.com
64.15.112.77;cache.google.com
82.76.231.13;cache.google.com
80.239.229.205;80-239-229-205.customer.teliacarrier.com
84.208.42.79;cm-84.208.42.79.getinternet.no
193.212.4.17;cache.google.com
64.15.112.16;cache.google.com
82.76.79.80;cache.google.com
208.117.234.23;cache.google.com
64.15.116.176;cache.google.com
64.15.112.14;cache.google.com
82.76.231.14;cache.google.com
212.56.71.14;plusnet-lcy3.plus.net
64.15.112.83;cache.google.com
83.255.235.83;cache.google.com
213.155.151.179;213-155-151-179.customer.teliacarrier.com
195.13.189.14;cache.google.com
193.212.4.51;cache.google.com
82.76.231.19;cache.google.com
90.201.127.80;host15-rangeC-google-ggc.cdn.bllon.isp.sky.com
188.247.240.13;cache.google.com
82.94.234.17;cache.google.com
82.76.79.77;cache.google.com
207.34.103.13;cache.google.com
2001:56a:2:8::d;cache.google.com
90.201.127.83;host18-rangeC-google-ggc.cdn.bllon.isp.sky.com
206.248.149.141;206-248-149-141.dsl.teksavvy.com
2607:f2c0:1:51::d;node-5h3u3qudkwq1j9jh.ipv6.teksavvy.com
195.122.30.13;cache.google.com
193.212.4.19;cache.google.com
212.56.71.13;plusnet-lcy3.plus.net
194.78.0.81;81.0-78-194.cache.googlevideo.com
64.15.112.78;cache.google.com
64.15.116.109;cache.google.com
64.15.116.142;cache.google.com
62.231.75.206;cache.google.com
207.34.103.14;cache.google.com
2001:56a:2:8::e;cache.google.com
90.201.127.17;host16-rangeB-google-ggc.cdn.bllon.isp.sky.com
206.248.149.142;206-248-149-142.dsl.teksavvy.com
195.122.16.18;cache.google.com
193.212.4.49;cache.google.com
212.56.71.142;ggc02.plus.net
103.1.139.206;206.139.1.103.unknown.m1.com.sg
194.78.99.142;142.99-78-194.cache.googlevideo.com
194.78.99.144;144.99-78-194.cache.googlevideo.com
82.94.234.14;cache.google.com
90.201.127.12;host11-rangeB-google-ggc.cdn.bllon.isp.sky.com
208.117.234.120;cache.google.com
212.56.71.76;plusnet-lcy4.plus.net
194.78.99.78;78.99-78-194.cache.googlevideo.com
64.15.112.13;cache.google.com
64.15.116.173;cache.google.com
62.231.75.205;cache.google.com
90.201.127.78;host13-rangeC-google-ggc.cdn.bllon.isp.sky.com
195.13.189.18;cache.google.com
84.208.42.17;cm-84.208.42.17.getinternet.no
82.94.228.144;cache.googlevideo.com
82.76.79.78;cache.google.com
208.117.234.8;cache.google.com
206.248.151.142;cache.google.com
195.13.189.13;cache.google.com
195.122.30.14;cache.google.com
84.208.42.16;cm-84.208.42.16.getinternet.no
193.212.4.45;cache.google.com
194.78.0.145;145.0-78-194.cache.googlevideo.com
62.4.253.77;77.253-4-62.akamai.com
196.23.168.141;za196-23-168-141.cache.googlevideo.com
64.15.112.81;cache.google.com
64.15.116.145;cache.google.com
62.231.75.209;cache.google.com
90.201.127.81;host16-rangeC-google-ggc.cdn.bllon.isp.sky.com
212.56.71.12;plusnet-lcy3.plus.net
103.1.139.207;207.139.1.103.unknown.m1.com.sg
194.78.99.79;79.99-78-194.cache.googlevideo.com
64.15.116.140;cache.google.com
207.34.103.12;cache.google.com
2001:56a:2:8::c;cache.google.com
206.248.169.108;206-248-169-108.dsl.teksavvy.com
195.122.30.12;cache.google.com
213.155.151.178;213-155-151-178.customer.teliacarrier.com
195.122.30.18;cache.google.com
193.212.4.46;cache.google.com
62.4.253.206;206.253-4-62.akamai.com
62.4.253.205;205.253-4-62.akamai.com
64.15.116.19;cache.google.com
80.239.229.243;80-239-229-243.customer.teliacarrier.com
207.34.103.19;cache.google.com
2001:56a:2:8::13;cache.google.com
206.248.151.147;cache.google.com
195.13.189.19;cache.google.com
103.1.139.143;143.139.1.103.unknown.m1.com.sg
80.239.229.206;80-239-229-206.customer.teliacarrier.com
206.248.169.78;206-248-169-78.dsl.teksavvy.com
194.78.0.208;208.0-78-194.cache.googlevideo.com
64.15.116.77;cache.google.com
83.255.235.77;cache.google.com
80.239.229.237;80-239-229-237.customer.teliacarrier.com
196.23.168.142;za196-23-168-142.cache.googlevideo.com
90.201.127.13;host12-rangeB-google-ggc.cdn.bllon.isp.sky.com
103.1.139.209;209.139.1.103.unknown.m1.com.sg
64.15.116.110;cache.google.com
147.229.255.14;cache.google.com
2001:67c:1223::e;cache.google.com
195.122.16.14;cache.google.com
103.1.139.142;142.139.1.103.unknown.m1.com.sg
194.78.99.14;14.99-78-194.cache.googlevideo.com
147.229.255.15;cache.google.com
2001:67c:1223::f;cache.google.com
82.94.234.15;cache.google.com
195.122.30.19;cache.google.com
64.15.112.15;cache.google.com
83.255.235.79;cache.google.com
82.76.79.79;cache.google.com
80.239.229.239;80-239-229-239.customer.teliacarrier.com
213.155.151.143;213-155-151-143.customer.teliacarrier.com
209.52.144.83;cache.google.com
207.34.103.15;cache.google.com
2001:56a:2:8::f;cache.google.com
206.248.169.111;206-248-169-111.dsl.teksavvy.com
2607:f2c0:1:53::f;node-5h41w1mfn12b474f.ipv6.teksavvy.com
195.122.30.15;cache.google.com
212.56.71.143;ggc02.plus.net
103.1.139.145;145.139.1.103.unknown.m1.com.sg
80.239.229.207;80-239-229-207.customer.teliacarrier.com
206.248.151.143;cache.google.com
212.56.71.81;plusnet-lcy4.plus.net
62.4.253.209;209.253-4-62.akamai.com
216.123.194.79;cache.google.com
206.248.151.141;cache.google.com
193.212.4.82;cache.google.com
212.56.71.82;plusnet-lcy4.plus.net
194.78.0.15;15.0-78-194.cache.googlevideo.com
208.117.234.9;cache.google.com
80.239.229.238;80-239-229-238.customer.teliacarrier.com
64.15.120.87;cache.google.com
206.248.151.78;cache.google.com
84.208.42.14;cm-84.208.42.14.getinternet.no
194.78.0.78;78.0-78-194.cache.googlevideo.com
64.15.116.111;cache.google.com
62.231.75.207;cache.google.com
213.155.151.175;213-155-151-175.customer.teliacarrier.com
64.15.120.95;cache.google.com
193.212.4.14;cache.google.com
194.78.99.141;141.99-78-194.cache.googlevideo.com
147.229.255.13;cache.google.com
2001:67c:1223::d;cache.google.com
213.155.151.145;213-155-151-145.customer.teliacarrier.com
64.15.120.22;cache.google.com
208.117.234.103;cache.google.com
206.248.169.110;206-248-169-110.dsl.teksavvy.com
195.13.189.17;cache.google.com
194.78.0.17;17.0-78-194.cache.googlevideo.com
82.76.79.81;cache.google.com
80.239.229.241;80-239-229-241.customer.teliacarrier.com
64.15.120.34;cache.google.com
208.117.234.42;cache.google.com
212.56.71.16;plusnet-lcy3.plus.net
82.76.79.82;cache.google.com
64.15.120.23;cache.google.com
206.248.169.79;206-248-169-79.dsl.teksavvy.com
193.212.4.15;cache.google.com
212.56.71.79;plusnet-lcy4.plus.net
194.78.99.140;140.99-78-194.cache.googlevideo.com
64.15.116.178;cache.google.com
64.15.116.174;cache.google.com
64.15.120.27;cache.google.com
193.212.4.83;cache.google.com
212.56.71.83;plusnet-lcy4.plus.net
194.78.99.12;12.99-78-194.cache.googlevideo.com
64.15.116.46;cache.google.com
85.234.204.204;cache.google.com
103.1.139.204;204.139.1.103.unknown.m1.com.sg
64.15.116.83;cache.google.com
90.201.127.19;host18-rangeB-google-ggc.cdn.bllon.isp.sky.com
212.56.71.19;plusnet-lcy3.plus.net
194.78.0.207;207.0-78-194.cache.googlevideo.com
64.15.116.147;cache.google.com
194.78.99.15;15.99-78-194.cache.googlevideo.com
64.15.116.113;cache.google.com
82.76.231.17;cache.google.com
213.155.151.177;213-155-151-177.customer.teliacarrier.com
131.203.2.12;default-rdns.vocus.co.nz
2402:6000:0:102::c;default-rdns.vocus.co.nz
195.122.30.17;cache.google.com
64.15.112.79;cache.google.com
206.248.149.143;206-248-149-143.dsl.teksavvy.com
2607:f2c0:1:51::f;node-5h3u3qudkwq1j9jj.ipv6.teksavvy.com
195.13.189.15;cache.google.com
194.78.99.145;145.99-78-194.cache.googlevideo.com
64.15.116.179;cache.google.com
64.15.119.90;cache.google.com
62.94.9.12;cache.google.com
80.239.229.211;80-239-229-211.customer.teliacarrier.com
64.15.120.26;cache.google.com
90.201.127.82;host17-rangeC-google-ggc.cdn.bllon.isp.sky.com
206.248.151.79;cache.google.com
208.117.253.90;cache.google.com
194.78.99.207;207.99-78-194.cache.googlevideo.com
64.15.119.25;cache.google.com
208.117.234.73;cache.google.com
208.117.253.25;cache.google.com
62.4.253.81;81.253-4-62.akamai.com
64.15.119.23;cache.google.com
109.88.203.210;host-109-88-203-210.dynamic.voo.be
90.201.127.15;host14-rangeB-google-ggc.cdn.bllon.isp.sky.com
208.117.253.87;cache.google.com
194.78.99.76;76.99-78-194.cache.googlevideo.com
64.15.116.146;cache.google.com
64.15.119.26;cache.google.com
109.88.203.205;host-109-88-203-205.dynamic.voo.be
208.117.253.26;cache.google.com
64.15.119.93;cache.google.com
109.88.203.209;host-109-88-203-209.dynamic.voo.be
208.117.253.93;cache.google.com
64.15.119.20;cache.google.com
109.88.203.206;host-109-88-203-206.dynamic.voo.be
131.203.2.13;default-rdns.vocus.co.nz
2402:6000:0:102::d;default-rdns.vocus.co.nz
208.117.253.84;cache.google.com
194.78.0.16;16.0-78-194.cache.googlevideo.com
64.15.119.86;cache.google.com
208.117.253.22;cache.google.com
212.56.71.141;ggc02.plus.net
64.15.116.177;cache.google.com
64.15.119.96;cache.google.com
147.229.255.12;cache.google.com
2001:67c:1223::c;cache.google.com
80.239.229.240;80-239-229-240.customer.teliacarrier.com
207.34.103.16;cache.google.com
2001:56a:2:8::10;cache.google.com
206.248.151.76;cache.google.com
2607:f2c0:1:41::c;node-5h23tclx3xzwvswc.ipv6.teksavvy.com
195.122.30.16;cache.google.com
194.78.99.80;80.99-78-194.cache.googlevideo.com
64.15.119.94;cache.google.com
216.123.194.80;cache.google.com
208.117.234.87;cache.google.com
208.117.253.30;cache.google.com
194.78.99.143;143.99-78-194.cache.googlevideo.com
64.15.119.89;cache.google.com
90.201.126.145;host16-rangeB-google-ggc.cdn.syost.isp.sky.com
64.15.119.98;cache.google.com
90.201.126.142;host13-rangeB-google-ggc.cdn.syost.isp.sky.com
178.74.30.14;cache.google.com
131.203.2.14;default-rdns.vocus.co.nz
90.201.127.14;host13-rangeB-google-ggc.cdn.bllon.isp.sky.com
208.117.253.34;cache.google.com
194.78.99.81;81.99-78-194.cache.googlevideo.com
64.15.119.95;cache.google.com
62.231.75.204;cache.google.com
80.239.229.204;80-239-229-204.customer.teliacarrier.com
213.155.151.172;213-155-151-172.customer.teliacarrier.com
64.15.116.144;cache.google.com
90.201.126.140;host11-rangeB-google-ggc.cdn.syost.isp.sky.com
80.239.229.208;80-239-229-208.customer.teliacarrier.com
208.117.234.6;cache.google.com
208.117.253.20;cache.google.com
194.78.99.206;206.99-78-194.cache.googlevideo.com
90.201.126.146;host17-rangeB-google-ggc.cdn.syost.isp.sky.com
2402:6000:0:102::e;default-rdns.vocus.co.nz
206.248.151.77;cache.google.com
195.122.16.16;cache.google.com
195.122.16.17;cache.google.com
64.15.116.175;cache.google.com
90.201.126.141;host12-rangeB-google-ggc.cdn.syost.isp.sky.com
195.122.16.15;cache.google.com
208.117.253.98;cache.google.com
64.15.119.27;cache.google.com
90.201.126.147;host18-rangeB-google-ggc.cdn.syost.isp.sky.com
208.117.253.27;cache.google.com
103.1.139.205;205.139.1.103.unknown.m1.com.sg
194.78.0.13;13.0-78-194.cache.googlevideo.com
64.15.119.35;cache.google.com
206.248.149.140;206-248-149-140.dsl.teksavvy.com
208.117.253.35;cache.google.com
64.15.112.76;cache.google.com
64.15.119.92;cache.google.com
80.239.229.236;80-239-229-236.customer.teliacarrier.com
195.13.189.12;cache.google.com
208.117.253.28;cache.google.com
90.201.126.144;host15-rangeB-google-ggc.cdn.syost.isp.sky.com
212.56.71.80;plusnet-lcy4.plus.net
62.4.253.80;80.253-4-62.akamai.com
64.15.119.21;cache.google.com
208.117.253.85;cache.google.com
64.15.119.99;cache.google.com
208.117.253.99;cache.google.com
195.13.189.16;cache.google.com
64.15.119.84;cache.google.com
64.15.116.141;cache.google.com
64.15.119.30;cache.google.com
64.15.119.32;cache.google.com
64.15.119.31;cache.google.com
64.15.119.29;cache.google.com
90.201.126.143;host14-rangeB-google-ggc.cdn.syost.isp.sky.com
206.248.151.145;cache.google.com
206.248.151.144;cache.google.com
206.248.151.140;cache.google.com
2607:f2c0:1:31::11;node-5h0diydgmz9s8c9d.ipv6.teksavvy.com
206.248.151.146;cache.google.com
208.117.253.94;cache.google.com
62.4.253.207;207.253-4-62.akamai.com
62.4.253.204;204.253-4-62.akamai.com
62.4.253.208;208.253-4-62.akamai.com
208.117.253.88;cache.google.com
82.76.79.76;cache.google.com
194.78.0.14;14.0-78-194.cache.googlevideo.com
64.15.119.87;cache.google.com
84.208.42.238;cm-84.208.42.238.getinternet.no
208.117.253.23;cache.google.com
212.56.71.140;ggc02.plus.net
84.208.42.237;cm-84.208.42.237.getinternet.no
103.1.139.141;141.139.1.103.unknown.m1.com.sg
194.78.0.141;141.0-78-194.cache.googlevideo.com
62.4.253.76;76.253-4-62.akamai.com
64.15.119.34;cache.google.com
2001:56a:2:6::e;node-1w7jr9urpm4mbghaav255nkem.ipv6.telus.net
208.117.234.10;cache.google.com
62.4.253.78;78.253-4-62.akamai.com
62.231.75.208;cache.google.com
208.117.234.70;cache.google.com
2001:56a:2:6::11;node-1w7jr9urpm4mbghaav255nkep.ipv6.telus.net
208.117.234.11;cache.google.com
103.1.139.140;140.139.1.103.unknown.m1.com.sg
213.155.151.140;213-155-151-140.customer.teliacarrier.com
208.117.253.29;cache.google.com
194.78.0.140;140.0-78-194.cache.googlevideo.com
212.6.82.76;static-212-6-82-076.ewe-ip-backbone.de
85.234.204.205;cache.google.com
208.117.253.89;cache.google.com
2001:56a:2:6::13;node-1w7jr9urpm4mbghaav255nker.ipv6.telus.net
194.78.0.206;206.0-78-194.cache.googlevideo.com
64.15.120.21;cache.google.com
208.117.253.21;cache.google.com
2001:56a:2:6::f;node-1w7jr9urpm4mbghaav255nken.ipv6.telus.net
208.117.234.114;cache.google.com
62.4.253.79;79.253-4-62.akamai.com
64.15.119.24;cache.google.com
64.15.120.24;cache.google.com
208.117.234.45;cache.google.com
208.117.253.24;cache.google.com
85.234.204.206;cache.google.com
2001:56a:2:6::c;node-1w7jr9urpm4mbghaav255nkek.ipv6.telus.net
163.44.26.12;cache.google.com
213.155.151.144;213-155-151-144.customer.teliacarrier.com
2001:56a:2:6::12;node-1w7jr9urpm4mbghaav255nkeq.ipv6.telus.net
64.15.119.22;cache.google.com
213.155.151.173;213-155-151-173.customer.teliacarrier.com
64.15.120.86;cache.google.com
64.15.120.35;cache.google.com
208.117.234.52;cache.google.com
82.76.231.15;cache.google.com
84.208.42.236;cm-84.208.42.236.getinternet.no
212.56.71.15;plusnet-lcy3.plus.net
213.155.151.142;213-155-151-142.customer.teliacarrier.com
208.117.253.92;cache.google.com
64.15.119.88;cache.google.com
64.15.120.94;cache.google.com
2001:56a:2:6::10;node-1w7jr9urpm4mbghaav255nkeo.ipv6.telus.net
208.117.234.107;cache.google.com
212.6.82.13;static-212-6-82-013.ewe-ip-backbone.de
